195,104,104,104,104,104,104,104,104,194,0,0,195,104,104,104,104,104,104,104,104,104,104,104,194,0,195,104,104,104,104,104,104,104,104,104,104,0,0,0,85,6,6,6,6,6,6,6,6,6,6,101,127,127,127,85,6,6,6,6,31,6,6,7,35,35,7,35,1,2,3,4,5,7,1,2,3,4,5,6
85,6,35,35,82,83,6,6,6,101,0,0,85,6,6,6,6,6,6,6,6,6,6,6,101,0,85,6,6,6,6,6,6,6,6,6,6,101,0,0,85,6,6,13,6,1,2,3,4,5,6,101,127,127,0,85,6,8,9,6,6,6,13,6,6,13,6,6,21,22,23,24,25,26,21,22,23,24,25,26
85,6,1,2,105,106,5,6,6,101,0,0,85,6,6,7,1,2,3,4,5,6,6,6,101,0,85,6,7,1,2,3,4,5,6,6,6,101,0,0,85,6,35,6,35,21,22,23,24,25,26,101,127,127,0,85,50,28,29,49,55,49,49,49,55,55,50,51,41,42,43,44,45,46,41,42,43,44,45,46
85,35,21,22,125,126,25,26,35,101,0,0,85,8,9,35,21,22,23,24,25,26,35,7,101,0,85,35,35,21,22,23,24,25,26,35,7,101,0,0,85,55,55,55,55,41,42,43,44,45,46,101,127,0,0,85,60,66,66,66,66,66,66,66,66,66,66,66,66,62,63,64,65,66,66,62,63,64,65,66
85,55,41,42,145,146,45,46,55,101,0,0,85,28,29,55,41,42,43,44,45,46,55,55,101,0,85,55,30,41,42,43,44,45,46,55,55,88,104,104,89,60,66,66,66,66,66,66,66,66,66,101,127,0,127,85,80,20,20,20,40,68,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
85,66,66,66,66,66,66,66,66,101,0,0,85,66,66,66,66,66,66,66,66,66,66,66,101,0,85,66,66,66,66,66,66,66,66,66,66,35,35,35,35,80,20,20,20,20,111,20,204,205,20,101,127,0,127,85,100,20,131,20,20,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,20,20,20,20,20,20,20,20,101,0,0,85,20,20,20,20,20,20,20,20,20,20,20,88,104,89,20,20,20,20,20,20,20,20,20,20,55,55,55,55,80,20,20,68,84,84,84,84,84,84,174,127,0,0,85,100,111,20,68,84,174,0,195,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,194
85,20,20,20,20,20,20,20,20,101,0,0,85,20,20,68,84,84,84,84,84,69,20,20,35,35,35,20,20,20,20,20,20,20,20,20,20,66,66,66,66,80,20,20,101,0,0,0,0,0,0,0,0,0,0,85,100,20,20,101,0,0,0,85,35,35,35,35,35,35,35,35,35,35,35,35,35,31,35,101
175,84,69,20,20,68,84,84,84,174,0,20,85,20,20,101,20,20,20,20,20,85,20,20,55,55,55,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,20,88,104,104,104,104,104,104,104,104,194,0,85,100,40,131,88,104,104,104,89,55,55,55,30,55,55,55,55,55,55,55,55,55,55,55,101
0,0,85,20,20,101,20,20,0,0,0,20,85,20,20,101,20,20,20,20,20,85,20,20,66,66,66,20,20,20,20,20,20,20,20,20,20,68,84,84,69,80,20,20,35,35,35,35,35,35,35,35,35,101,0,85,100,40,111,35,35,35,35,35,60,66,66,66,66,66,66,66,66,66,66,66,66,66,66,101
0,0,85,20,20,101,20,195,104,104,104,104,89,20,20,101,20,20,20,20,20,85,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,101,0,0,85,80,131,20,55,55,55,55,55,55,55,55,55,101,0,85,100,40,20,55,55,55,55,55,160,131,20,20,20,20,131,131,131,20,20,20,20,111,20,101
