62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,149,150,62,62,62,62,62,151,152,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
233,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,169,170,249,250,251,251,252,171,172,233,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
189,190,191,190,191,190,190,191,190,191,190,190,191,190,191,190,191,190,190,191,193,194,249,250,251,251,252,193,194,189,190,190,191,190,190,191,190,191,190,191,190,191,190,191,190,190,191,190,191,190
209,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,193,194,269,270,271,271,272,193,194,209,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,11
10,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,193,194,215,215,215,215,215,193,194,229,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,31
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51
10,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,21,22,23,20,21,42,43,42,43,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,31
30,42,43,40,41,42,43,40,41,42,43,40,41,42,43,42,43,42,43,40,41,42,42,43,43,40,41,62,63,62,63,42,43,40,41,42,43,40,41,42,43,40,41,42,43,40,41,42,43,31
50,2,3,0,1,2,3,0,1,2,3,0,1,2,3,62,63,2,3,0,1,2,62,63,3,0,1,2,3,0,1,62,63,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,51
10,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,3,2,11
30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,11,22,23,20,21,22,23,10,24,24,24,24,24,24,24,24,24,11,22,23,20,23,22,31
50,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,11,42,43,40,41,42,43,30,44,44,44,44,44,44,44,44,44,11,42,43,40,43,42,31
10,144,145,144,144,144,144,144,144,144,144,144,34,34,34,34,34,34,35,35,35,34,34,34,34,35,31,2,3,0,1,2,3,50,34,34,34,34,34,34,34,34,35,31,2,3,0,3,2,51
30,164,165,164,164,164,164,164,164,164,164,164,34,34,34,14,14,54,55,55,55,54,54,54,54,55,56,57,56,57,56,57,56,57,54,54,54,54,34,35,34,35,55,51,20,21,22,23,22,11
50,34,34,34,34,34,35,34,34,34,35,35,35,35,144,145,55,14,144,145,144,145,144,145,35,35,76,77,76,77,76,77,76,77,34,34,34,34,54,55,54,34,35,11,40,41,42,43,42,31
10,54,54,34,54,34,34,34,34,34,35,35,35,55,164,165,55,34,164,165,164,165,164,165,55,55,96,97,96,97,96,97,96,97,54,54,34,35,34,34,35,54,55,31,0,1,2,3,2,51
10,34,34,144,144,145,144,145,144,144,145,144,144,145,144,145,14,34,144,145,34,34,144,145,35,35,56,57,56,57,56,57,56,57,34,34,34,34,34,35,34,34,35,51,20,21,22,23,22,11
30,34,34,164,164,165,164,165,164,164,165,164,164,165,164,165,54,34,164,165,34,34,164,165,55,55,76,77,76,77,76,77,76,77,54,54,54,54,34,35,34,54,55,11,40,41,42,43,42,31
50,34,35,55,34,54,14,14,14,14,14,14,35,54,144,145,144,145,144,145,35,35,144,145,34,35,96,97,96,97,96,97,96,97,34,34,34,34,34,34,34,34,35,51,0,1,2,3,2,51
10,34,34,35,14,14,14,34,54,34,35,35,55,55,164,165,164,165,164,165,55,55,164,165,144,145,11,22,23,20,21,22,23,50,54,54,54,54,34,35,34,35,55,11,20,21,22,23,22,11
30,144,145,144,144,145,144,144,145,144,145,34,35,35,35,35,35,35,35,35,35,35,35,35,164,165,11,22,23,20,23,20,21,10,34,34,34,34,54,55,54,34,35,31,40,41,42,43,42,31
50,164,165,164,164,165,164,164,165,164,165,54,55,55,55,55,55,55,55,55,55,55,55,55,165,165,31,42,43,40,23,20,21,30,54,54,34,35,34,34,35,54,55,51,0,1,2,3,2,51
10,34,35,34,54,54,54,55,34,144,145,35,55,144,145,144,145,144,145,144,145,144,35,35,35,35,51,2,3,0,43,40,41,50,34,34,34,34,34,35,34,34,35,11,22,21,22,23,22,11
30,34,14,14,54,55,54,55,54,164,165,34,35,164,165,164,165,164,165,164,165,164,55,55,55,55,11,22,23,20,21,41,42,10,54,54,54,54,34,35,34,54,55,31,42,41,42,43,42,31
50,144,144,144,145,144,145,34,54,144,145,144,144,144,145,35,35,35,35,35,35,144,144,145,55,55,31,42,43,40,23,20,21,30,34,34,34,34,34,34,34,34,35,51,2,1,2,3,2,51
10,164,164,164,165,164,165,54,54,164,165,164,164,164,165,14,34,34,35,55,55,164,164,165,54,55,51,2,3,0,23,20,21,50,54,54,54,54,34,35,34,35,55,11,20,21,22,23,22,11
30,144,145,14,14,55,55,35,35,55,55,55,14,34,34,54,14,144,145,35,55,144,164,165,54,55,11,22,23,20,43,40,41,10,34,34,34,34,54,55,54,34,35,31,40,41,42,43,42,31
50,164,165,14,34,54,55,55,55,14,54,54,14,35,54,34,35,164,165,55,34,164,164,165,55,35,51,42,43,40,41,42,43,30,54,54,34,35,34,34,35,54,55,51,0,1,2,3,2,51
10,144,145,54,54,144,145,144,144,144,144,144,145,144,145,54,55,144,145,34,34,144,144,145,55,55,11,2,3,0,1,2,3,50,34,34,34,34,34,35,34,34,35,11,20,21,22,23,22,11
30,164,165,34,34,164,165,164,164,164,164,164,165,164,165,55,55,164,165,34,34,164,164,165,54,55,31,22,23,20,21,22,23,10,34,34,34,34,34,34,34,34,35,31,40,41,42,43,42,31
50,54,54,54,54,144,145,55,55,14,55,55,55,55,55,55,35,144,145,54,34,34,35,54,54,55,51,2,3,0,1,2,3,50,54,54,54,54,34,35,34,35,55,51,0,1,2,3,2,51
10,54,54,34,14,164,165,34,35,35,55,55,34,35,35,35,55,164,165,35,54,34,34,35,55,35,11,22,23,20,21,22,23,10,34,34,34,34,54,55,54,34,35,11,20,21,22,23,22,11
30,144,145,144,145,144,145,14,55,144,145,144,144,144,144,144,144,144,144,144,144,144,144,144,144,145,31,42,43,40,41,42,43,30,54,54,34,35,34,34,35,54,55,51,40,41,42,43,42,31
50,164,165,164,165,164,165,34,14,164,165,164,164,164,164,164,164,164,164,164,164,164,164,164,164,165,51,2,3,0,1,2,3,50,34,34,34,34,34,34,34,34,35,11,0,1,0,1,2,51
50,54,54,54,54,54,54,54,54,54,55,54,14,14,55,54,54,54,54,55,54,54,54,55,55,55,11,22,23,20,21,22,23,10,34,34,34,34,34,34,34,34,35,31,20,21,20,21,22,11
10,34,35,34,35,54,54,54,54,54,54,54,35,34,34,34,34,34,34,34,34,34,35,34,34,35,31,23,20,21,41,42,43,30,54,54,54,54,34,35,34,35,55,51,40,41,40,41,42,31
30,54,55,54,55,6,54,55,9,54,54,54,55,54,54,54,54,54,54,54,54,54,55,54,54,55,51,23,20,21,1,2,3,50,34,34,34,34,54,55,54,34,35,11,0,1,2,3,0,51
50,24,24,24,24,26,27,28,29,24,25,24,24,24,24,24,24,24,24,24,25,24,24,24,24,25,11,43,40,41,21,22,23,10,54,54,34,35,34,34,35,54,55,31,6,43,42,9,20,11
10,44,45,12,13,46,47,48,49,12,13,44,45,44,44,45,44,45,44,44,45,44,45,44,44,45,24,25,25,25,25,25,25,25,34,34,34,34,34,35,34,34,35,25,26,27,28,29,25,31
30,1,1,32,33,66,47,48,69,32,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,44,44,44,44,44,44,44,54,54,54,6,54,55,9,54,55,44,46,47,48,49,44,51
50,21,42,21,22,21,22,23,21,21,22,21,22,23,21,62,21,21,21,21,22,23,20,21,22,23,44,44,44,44,44,44,44,44,24,24,25,26,27,28,29,24,25,44,46,47,48,49,44,11
10,21,62,63,42,21,42,43,21,62,63,43,42,21,21,21,42,43,21,6,43,42,9,41,42,43,44,44,44,44,44,44,44,44,44,44,44,46,47,48,49,44,44,44,46,47,48,49,44,31
30,24,24,24,24,24,24,24,25,24,24,24,24,24,25,24,24,24,24,26,27,28,29,24,24,25,11,10,44,44,44,44,44,44,44,44,44,46,47,48,49,44,44,44,46,47,48,49,44,51
50,44,45,44,44,45,44,44,45,44,45,44,44,44,45,44,45,44,44,46,47,48,49,12,13,45,51,50,44,44,44,44,44,44,44,44,44,46,47,48,49,44,44,44,46,47,48,49,44,11
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66,47,48,69,32,33,1,11,10,1,1,1,1,1,1,1,1,1,66,47,48,69,1,1,1,66,47,48,69,1,31
30,21,22,23,21,21,22,23,22,23,21,22,23,22,23,22,22,22,42,43,22,23,22,21,21,23,31,30,0,1,2,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,31
50,21,21,22,23,60,61,22,23,42,43,42,43,60,61,22,23,22,62,63,22,21,22,23,43,43,51,50,20,21,22,23,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,51
84,85,83,84,85,80,81,42,43,62,63,23,23,80,81,82,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83,84,85,83
104,105,103,104,105,100,101,62,63,22,23,22,23,100,101,102,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103,104,105,103
124,125,123,124,125,120,121,86,87,88,89,90,91,120,121,122,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123,124,125,123
